"Area","BNF_Section","BNF_Section_Code","BNF_Chapter","BNF_Chapter_Code","items","actual_cost","item_label"
"NHS Coastal West Sussex CCG","Tubing And Accessories","2280","Incontinence Appliances","22",3159,41284.66,"Tubing And Accessories
3,159"
"NHS Coastal West Sussex CCG","Two Piece Ostomy Systems","2394","Stoma Appliances","23",2567,216001.57,"Two Piece Ostomy Systems
2,567"
"NHS Coastal West Sussex CCG","Urinal Systems","2290","Incontinence Appliances","22",122,4224.13,"Urinal Systems
122"
"NHS Coastal West Sussex CCG","Urostomy Bags","2396","Stoma Appliances","23",1668,260072.8,"Urostomy Bags
1,668"
"NHS Coastal West Sussex CCG","Vaccines And Antisera","1404","Immunological Products and Vaccines","14",139157,1282322.19,"Vaccines And Antisera
139,157"
"NHS Coastal West Sussex CCG","Vacuum Pumps for Erectile Dysfunction","2118","Appliances","21",122,10234.74,"Vacuum Pumps for Erectile Dysfunction
122"
"NHS Coastal West Sussex CCG","Vaginal Dilators","2125","Appliances","21",22,702.1,"Vaginal Dilators
22"
"NHS Coastal West Sussex CCG","Vaginal Moisturisers","2123","Appliances","21",3300,30044.78,"Vaginal Moisturisers
3,300"
"NHS Coastal West Sussex CCG","Vaginal PH Correction Products","2134","Appliances","21",64,374.12,"Vaginal PH Correction Products
64"
"NHS Coastal West Sussex CCG","Venous Ulcer Compression System","2120","Appliances","21",1325,38392.69,"Venous Ulcer Compression System
1,325"
"NHS Coastal West Sussex CCG","Vitamins","0906","Nutrition and Blood","09",272256,1414803.28,"Vitamins
272,256"
"NHS Coastal West Sussex CCG","Waters","1914","Other Drugs and Preparations","19",63,742.34,"Waters
63"
"NHS Coastal West Sussex CCG","Wound Management & Other Dressings","2003","Dressings","20",94033,1953899.4,"Wound Management & Other Dressings
94,033"
"NHS Coastal West Sussex CCG","Wound Management Products","1313","Skin","13",165,4919.18,"Wound Management Products
165"
"NHS Crawley CCG","Acids","1906","Other Drugs and Preparations","19",22,109.32,"Acids
22"
"NHS Crawley CCG","Acne and Rosacea","1306","Skin","13",3856,54762.49,"Acne and Rosacea
3,856"
"NHS Crawley CCG","Acute Diarrhoea","0104","Gastro-Intestinal System","01",3318,13052.87,"Acute Diarrhoea
3,318"
"NHS Crawley CCG","Adhesive Discs/Rings/Pads/Plasters","2305","Stoma Appliances","23",492,20551.78,"Adhesive Discs/Rings/Pads/Plasters
492"
"NHS Crawley CCG","Adhesive Dressing Remover Ster Silicone","2136","Appliances","21",41,964.44,"Adhesive Dressing Remover Ster Silicone
41"
"NHS Crawley CCG","Adhesive Removers (Sprays/Liquids/Wipes)","2315","Stoma Appliances","23",1645,41812.6,"Adhesive Removers (Sprays/Liquids/Wipes)
1,645"
"NHS Crawley CCG","Anaemias + Other Blood Disorders","0901","Nutrition and Blood","09",53749,131590.84,"Anaemias + Other Blood Disorders
53,749"
"NHS Crawley CCG","Anal Irrigation System","2128","Appliances","21",255,39493.34,"Anal Irrigation System
255"
"NHS Crawley CCG","Anal Plugs","2202","Incontinence Appliances","22",2,87.46,"Anal Plugs
2"
"NHS Crawley CCG","Analgesics","0407","Central Nervous System","04",116102,885858.63,"Analgesics
116,102"
"NHS Crawley CCG","Anthelmintics","0505","Infections","05",365,637.04,"Anthelmintics
365"
"NHS Crawley CCG","Anti-Arrhythmic Drugs","0203","Cardiovascular System","02",1452,8040.63,"Anti-Arrhythmic Drugs
1,452"
"NHS Crawley CCG","Anti-Infective Eye Preparations","1103","Eye","11",3277,17002.72,"Anti-Infective Eye Preparations
3,277"
"NHS Crawley CCG","Anti-Infective Skin Preparations","1310","Skin","13",7519,27547.4,"Anti-Infective Skin Preparations
7,519"
"NHS Crawley CCG","Antibacterial Drugs","0501","Infections","05",62120,265223.25,"Antibacterial Drugs
62,120"
"NHS Crawley CCG","Anticoagulants And Protamine","0208","Cardiovascular System","02",35910,879194.98,"Anticoagulants And Protamine
35,910"
"NHS Crawley CCG","Antidepressant Drugs","0403","Central Nervous System","04",125674,336622.62,"Antidepressant Drugs
125,674"
"NHS Crawley CCG","Antiepileptic Drugs","0408","Central Nervous System","04",53200,796525.56,"Antiepileptic Drugs
53,200"
"NHS Crawley CCG","Antifibrinolytic Drugs & Haemostatics","0211","Cardiovascular System","02",922,11193.89,"Antifibrinolytic Drugs & Haemostatics
922"
"NHS Crawley CCG","Antifungal Drugs","0502","Infections","05",2939,20230.76,"Antifungal Drugs
2,939"
"NHS Crawley CCG","Antihistamines, Hyposensitisations & Allergic Emergencies","0304","Respiratory System","03",32019,160270.32,"Antihistamines, Hyposensitisations & Allergic Emergencies
32,019"
"NHS Crawley CCG","Antiperspirants","1312","Skin","13",99,1205.02,"Antiperspirants
99"
"NHS Crawley CCG","Antiplatelet Drugs","0209","Cardiovascular System","02",61927,101079.12,"Antiplatelet Drugs
61,927"
"NHS Crawley CCG","Antiprotozoal Drugs","0504","Infections","05",6392,12749.05,"Antiprotozoal Drugs
6,392"
"NHS Crawley CCG","Antisecretory Drugs & Mucosal Protectants","0103","Gastro-Intestinal System","01",127276,219127.73,"Antisecretory Drugs & Mucosal Protectants
127,276"
"NHS Crawley CCG","Antispasmodics & Other drugs altering Gut Motility","0102","Gastro-Intestinal System","01",7642,94469.33,"Antispasmodics & Other drugs altering Gut Motility
7,642"
"NHS Crawley CCG","Antiviral Drugs","0503","Infections","05",1903,10328.7,"Antiviral Drugs
1,903"
"NHS Crawley CCG","Arm Sling/Bandages","2002","Dressings","20",187,5360.82,"Arm Sling/Bandages
187"
"NHS Crawley CCG","Bacterial Decolonisation Products","2140","Appliances","21",4,13.63,"Bacterial Decolonisation Products
4"
"NHS Crawley CCG","Bag Covers","2325","Stoma Appliances","23",19,492.65,"Bag Covers
19"
"NHS Crawley CCG","Base/Dil/Susp Agents/Stabilisers","1907","Other Drugs and Preparations","19",1164,37735.55,"Base/Dil/Susp Agents/Stabilisers
1,164"
"NHS Crawley CCG","Belts","2330","Stoma Appliances","23",121,5233.53,"Belts
121"
"NHS Crawley CCG","Beta-Adrenoceptor Blocking Drugs","0204","Cardiovascular System","02",75247,111898.16,"Beta-Adrenoceptor Blocking Drugs
75,247"
"NHS Crawley CCG","Bronchodilators","0301","Respiratory System","03",59840,576844.72,"Bronchodilators
59,840"
"NHS Crawley CCG","Catheter Maintenance Products","2113","Appliances","21",66,4033.46,"Catheter Maintenance Products
66"
"NHS Crawley CCG","Catheter Valves","2205","Incontinence Appliances","22",249,4966.49,"Catheter Valves
249"
"NHS Crawley CCG","Catheters","2102","Appliances","21",2204,284472.89,"Catheters
2,204"
"NHS Crawley CCG","Cellulose Wadding BP 1988","2018","Dressings","20",3,14.33,"Cellulose Wadding BP 1988
3"
"NHS Crawley CCG","Chronic Bowel Disorders","0105","Gastro-Intestinal System","01",5091,226490.49,"Chronic Bowel Disorders
5,091"
"NHS Crawley CCG","CNS Stimulants and drugs used for ADHD","0404","Central Nervous System","04",3911,142033.61,"CNS Stimulants and drugs used for ADHD
3,911"
"NHS Crawley CCG","Colostomy Bags","2335","Stoma Appliances","23",392,86473,"Colostomy Bags
392"
"NHS Crawley CCG","Compound Vitamins/Mineral Formulations","0910","Nutrition and Blood","09",670,4755.12,"Compound Vitamins/Mineral Formulations
670"
"NHS Crawley CCG","Contraceptive Devices","2104","Appliances","21",124,1302.84,"Contraceptive Devices
124"
"NHS Crawley CCG","Contraceptives","0703","Obstetrics, Gynae and Urinary Tract Disorders","07",20323,199540.91,"Contraceptives
20,323"
"NHS Crawley CCG","Cordials/Soft Drinks","1913","Other Drugs and Preparations","19",3,50.14,"Cordials/Soft Drinks
3"
"NHS Crawley CCG","Corticosteroids (Endocrine)","0603","Endocrine System","06",15846,115063.1,"Corticosteroids (Endocrine)
15,846"
"NHS Crawley CCG","Corticosteroids (Respiratory)","0302","Respiratory System","03",43219,1318811.95,"Corticosteroids (Respiratory)
43,219"
"NHS Crawley CCG","Corticosteroids & Other Anti-Inflammatory Preparations.","1104","Eye","11",5681,47243.11,"Corticosteroids & Other Anti-Inflammatory Preparations.
5,681"
"NHS Crawley CCG","Cough Preparations","0309","Respiratory System","03",668,995.8,"Cough Preparations
668"
"NHS Crawley CCG","Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists","0303","Respiratory System","03",5235,11899.13,"Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists
5,235"
"NHS Crawley CCG","Cytotoxic Drugs","0801","Malignant Disease and Immunosuppression","08",313,10767.67,"Cytotoxic Drugs
313"
"NHS Crawley CCG","Dementia","0411","Central Nervous System","04",7157,53683.71,"Dementia
7,157"
"NHS Crawley CCG","Deodorants","2345","Stoma Appliances","23",194,2143.12,"Deodorants
194"
"NHS Crawley CCG","Detection Sensor Interstitial Fluid/Gluc","2148","Appliances","21",44,2630.9,"Detection Sensor Interstitial Fluid/Gluc
44"
"NHS Crawley CCG","Dev For Fungal Nail Infections","2147","Appliances","21",2,34.8,"Dev For Fungal Nail Infections
2"
"NHS Crawley CCG","Discharge Solidifying Agents","2346","Stoma Appliances","23",70,3171.91,"Discharge Solidifying Agents
70"
"NHS Crawley CCG","Diuretics","0202","Cardiovascular System","02",60276,90406.19,"Diuretics
60,276"
"NHS Crawley CCG","Drugs Acting On The Ear","1201","Ear, Nose and Oropharynx","12",3880,17515.04,"Drugs Acting On The Ear
3,880"
"NHS Crawley CCG","Drugs Acting On The Nose","1202","Ear, Nose and Oropharynx","12",19352,101265.07,"Drugs Acting On The Nose
19,352"
"NHS Crawley CCG","Drugs Acting On The Oropharynx","1203","Ear, Nose and Oropharynx","12",2028,14221.26,"Drugs Acting On The Oropharynx
2,028"
"NHS Crawley CCG","Drugs Affecting Bone Metabolism","0606","Endocrine System","06",16331,67582.6,"Drugs Affecting Bone Metabolism
16,331"
"NHS Crawley CCG","Drugs Affecting Intestinal Secretions","0109","Gastro-Intestinal System","01",1380,75413.5,"Drugs Affecting Intestinal Secretions
1,380"
"NHS Crawley CCG","Drugs Affecting The Immune Response","0802","Malignant Disease and Immunosuppression","08",3148,72158.31,"Drugs Affecting The Immune Response
3,148"
"NHS Crawley CCG","Drugs For Genito-Urinary Disorders","0704","Obstetrics, Gynae and Urinary Tract Disorders","07",39190,540380.31,"Drugs For Genito-Urinary Disorders
39,190"
"NHS Crawley CCG","Drugs Used In Diabetes","0601","Endocrine System","06",122211,2699177.5,"Drugs Used In Diabetes
122,211"
"NHS Crawley CCG","Drugs Used In Nausea And Vertigo","0406","Central Nervous System","04",12293,83825.21,"Drugs Used In Nausea And Vertigo
12,293"
"NHS Crawley CCG","Drugs Used In Neuromuscular Disorders","1002","Musculoskeletal and Joint Diseases","10",3188,24669.26,"Drugs Used In Neuromuscular Disorders
3,188"
"NHS Crawley CCG","Drugs Used In Parkinsonism & Related Disorders","0409","Central Nervous System","04",8058,183785.3,"Drugs Used In Parkinsonism & Related Disorders
8,058"
"NHS Crawley CCG","Drugs Used In Psychoses & Related Disorders","0402","Central Nervous System","04",17065,198759.15,"Drugs Used In Psychoses & Related Disorders
17,065"
"NHS Crawley CCG","Drugs Used In Rheumatic Diseases & Gout","1001","Musculoskeletal and Joint Diseases","10",41090,201469.98,"Drugs Used In Rheumatic Diseases & Gout
41,090"
"NHS Crawley CCG","Drugs Used In Substance Dependence","0410","Central Nervous System","04",3166,84994.15,"Drugs Used In Substance Dependence
3,166"
"NHS Crawley CCG","Dry Mouth Products","2121","Appliances","21",725,5302.14,"Dry Mouth Products
725"
"NHS Crawley CCG","Dyspepsia & Gastro-Oesophageal Reflux Disease","0101","Gastro-Intestinal System","01",8226,55038.67,"Dyspepsia & Gastro-Oesophageal Reflux Disease
8,226"
"NHS Crawley CCG","Elastic Hosiery","2107","Appliances","21",1008,18901.88,"Elastic Hosiery
1,008"
"NHS Crawley CCG","Emollient & Barrier Preparations","1302","Skin","13",27574,189321.36,"Emollient & Barrier Preparations
27,574"
"NHS Crawley CCG","Emollients","2122","Appliances","21",17569,89791.18,"Emollients
17,569"
"NHS Crawley CCG","Eye Products","2130","Appliances","21",7344,52793.86,"Eye Products
7,344"
"NHS Crawley CCG","Faecal Collectors","2215","Incontinence Appliances","22",1,32,"Faecal Collectors
1"
"NHS Crawley CCG","Filters/Bridges","2350","Stoma Appliances","23",3,107.37,"Filters/Bridges
3"
"NHS Crawley CCG","Fluids And Electrolytes","0902","Nutrition and Blood","09",2180,19223.26,"Fluids And Electrolytes
2,180"
"NHS Crawley CCG","Foods","0909","Nutrition and Blood","09",121,5174.45,"Foods
121"
"NHS Crawley CCG","Gauzes & Gauze Tissue","2004","Dressings","20",24,996.08,"Gauzes & Gauze Tissue
24"
"NHS Crawley CCG","General Anaesthesia","1501","Anaesthesia","15",401,5051.1,"General Anaesthesia
401"
"NHS Crawley CCG","Health Supplements","0911","Nutrition and Blood","09",122,4047.96,"Health Supplements
122"
"NHS Crawley CCG","Hypertension and Heart Failure","0205","Cardiovascular System","02",137155,337167.4,"Hypertension and Heart Failure
137,155"
"NHS Crawley CCG","Hypnotics And Anxiolytics","0401","Central Nervous System","04",28505,116986.47,"Hypnotics And Anxiolytics
28,505"
"NHS Crawley CCG","Hypothalamic & Pituitary Hormones & Anti-oestrogens","0605","Endocrine System","06",733,77343.28,"Hypothalamic & Pituitary Hormones & Anti-oestrogens
733"
"NHS Crawley CCG","Ileostomy Bags","2360","Stoma Appliances","23",1067,162195.45,"Ileostomy Bags
1,067"
"NHS Crawley CCG","Incontinence Sheath Fixing Strips & Adh","2240","Incontinence Appliances","22",15,165.73,"Incontinence Sheath Fixing Strips & Adh
15"
"NHS Crawley CCG","Incontinence Sheaths","2230","Incontinence Appliances","22",318,18236.67,"Incontinence Sheaths
318"
"NHS Crawley CCG","Indwelling Pleural Cath Drain System","2133","Appliances","21",5,1180.09,"Indwelling Pleural Cath Drain System
5"
"NHS Crawley CCG","Inhalation Solutions","2132","Appliances","21",58,1194.44,"Inhalation Solutions
58"
"NHS Crawley CCG","Insert For Female Stress Incont","2285","Incontinence Appliances","22",4,114.94,"Insert For Female Stress Incont
4"
"NHS Crawley CCG","Irrigation Solutions","2116","Appliances","21",412,4756.48,"Irrigation Solutions
412"
"NHS Crawley CCG","Irrigation Washout Appliances","2370","Stoma Appliances","23",42,1175.26,"Irrigation Washout Appliances
42"
"NHS Crawley CCG","Jaw Rehabilitation Device","2142","Appliances","21",2,19.68,"Jaw Rehabilitation Device
2"
"NHS Crawley CCG","Laxatives","0106","Gastro-Intestinal System","01",34355,169998.44,"Laxatives
34,355"
"NHS Crawley CCG","Leg Bags","2250","Incontinence Appliances","22",1121,35173.77,"Leg Bags
1,121"
"NHS Crawley CCG","Lipid-Regulating Drugs","0212","Cardiovascular System","02",130297,318672.88,"Lipid-Regulating Drugs
130,297"
"NHS Crawley CCG","Local Anaesthesia","1502","Anaesthesia","15",3566,37294.47,"Local Anaesthesia
3,566"
"NHS Crawley CCG","Local Prepn for Anal & Rectal Disorders","0107","Gastro-Intestinal System","01",2654,21373.7,"Local Prepn for Anal & Rectal Disorders
2,654"
"NHS Crawley CCG","Low Friction Products","2138","Appliances","21",88,621.68,"Low Friction Products
88"
"NHS Crawley CCG","Lubricant Gels","2114","Appliances","21",664,3011.22,"Lubricant Gels
664"
"NHS Crawley CCG","Lymphoedema Garments","2127","Appliances","21",101,5122.39,"Lymphoedema Garments
101"
"NHS Crawley CCG","Management of Skin Conditions","1301","Skin","13",80,620.85,"Management of Skin Conditions
80"
"NHS Crawley CCG","Metabolic Disorders","0908","Nutrition and Blood","09",6,23573.26,"Metabolic Disorders
6"
"NHS Crawley CCG","Micro-Enema - Sodium Citrate","2143","Appliances","21",14,50.9,"Micro-Enema - Sodium Citrate
14"
"NHS Crawley CCG","Minerals","0905","Nutrition and Blood","09",1543,43747.77,"Minerals
1,543"
"NHS Crawley CCG","Miscellaneous Ophthalmic Preparations","1108","Eye","11",9377,49856.41,"Miscellaneous Ophthalmic Preparations
9,377"
"NHS Crawley CCG","Miscellaneous Topical Preparations","1315","Skin","13",3,246.84,"Miscellaneous Topical Preparations
3"
"NHS Crawley CCG","Mucolytics","0307","Respiratory System","03",5176,54132.27,"Mucolytics
5,176"
"NHS Crawley CCG","Mydriatics And Cycloplegics","1105","Eye","11",123,11554.19,"Mydriatics And Cycloplegics
123"
"NHS Crawley CCG","Nasal Products","2124","Appliances","21",739,1600.27,"Nasal Products
739"
"NHS Crawley CCG","Night Drainage Bags","2260","Incontinence Appliances","22",1655,23566.95,"Night Drainage Bags
1,655"
"NHS Crawley CCG","Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206","Cardiovascular System","02",87158,258048.88,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs
87,158"
"NHS Crawley CCG","Obesity","0405","Central Nervous System","04",597,11701.69,"Obesity
597"
"NHS Crawley CCG","Oral Film Forming Agents","2119","Appliances","21",36,1877.15,"Oral Film Forming Agents
36"
"NHS Crawley CCG","Oral Nutrition","0904","Nutrition and Blood","09",13315,872996.23,"Oral Nutrition
13,315"
"NHS Crawley CCG","Other Appliances","2101","Appliances","21",21144,135406.95,"Other Appliances
21,144"
"NHS Crawley CCG","Other Endocrine Drugs","0607","Endocrine System","06",184,13438.74,"Other Endocrine Drugs
184"
"NHS Crawley CCG","Other Health Supplements","0912","Nutrition and Blood","09",29,154.44,"Other Health Supplements
29"
"NHS Crawley CCG","Other Preparations","1905","Other Drugs and Preparations","19",6,55.68,"Other Preparations
6"
"NHS Crawley CCG","Peak Flow Meters","2112","Appliances","21",515,3169.5,"Peak Flow Meters
515"
"NHS Crawley CCG","Pelvic Toning Devices","2137","Appliances","21",1,13.92,"Pelvic Toning Devices
1"
"NHS Crawley CCG","Physical Debridement Device","2141","Appliances","21",17,951.03,"Physical Debridement Device
17"
"NHS Crawley CCG","Plantar Pressure Offloading Device","2129","Appliances","21",10,232.85,"Plantar Pressure Offloading Device
10"
"NHS Crawley CCG","Positive Inotropic Drugs","0201","Cardiovascular System","02",5821,8116.12,"Positive Inotropic Drugs
5,821"
"NHS Crawley CCG","Preparations For Eczema And Psoriasis","1305","Skin","13",3043,132388.18,"Preparations For Eczema And Psoriasis
3,043"
"NHS Crawley CCG","Preparations For Warts And Calluses","1307","Skin","13",552,2453.2,"Preparations For Warts And Calluses
552"
"NHS Crawley CCG","Pressure Plates/Shields","2375","Stoma Appliances","23",7,110.15,"Pressure Plates/Shields
7"
"NHS Crawley CCG","Selective Preparations","1902","Other Drugs and Preparations","19",2315,31931.22,"Selective Preparations
2,315"
"NHS Crawley CCG","Sex Hormones","0604","Endocrine System","06",14155,175693.95,"Sex Hormones
14,155"
"NHS Crawley CCG","Sex Hormones & Antag In Malig Disease","0803","Malignant Disease and Immunosuppression","08",6582,194298.59,"Sex Hormones & Antag In Malig Disease
6,582"
"NHS Crawley CCG","Shampoo & Other Preparations for Scalp & Hair Conditions","1309","Skin","13",3210,17477.57,"Shampoo & Other Preparations for Scalp & Hair Conditions
3,210"
"NHS Crawley CCG","Silk Garments","2020","Dressings","20",15,264.78,"Silk Garments
15"
"NHS Crawley CCG","Single Substances","1904","Other Drugs and Preparations","19",2,4499.05,"Single Substances
2"
"NHS Crawley CCG","Skin Cleansers,Antiseptics & Desloughing","1311","Skin","13",528,4802.9,"Skin Cleansers,Antiseptics & Desloughing
528"
"NHS Crawley CCG","Skin Closure Strips, Sterile","2014","Dressings","20",21,15.2,"Skin Closure Strips, Sterile
21"
"NHS Crawley CCG","Skin Fillers And Protectives","2380","Stoma Appliances","23",6612,83069.58,"Skin Fillers And Protectives
6,612"
"NHS Crawley CCG","Skin Protectors","2385","Stoma Appliances","23",223,19720.92,"Skin Protectors
223"
"NHS Crawley CCG","Soft-Tissue Disorders & Topical Pain Rel","1003","Musculoskeletal and Joint Diseases","10",17305,104970.44,"Soft-Tissue Disorders & Topical Pain Rel
17,305"
"NHS Crawley CCG","Stockinette","2009","Dressings","20",497,5316.56,"Stockinette
497"
"NHS Crawley CCG","Stoma Caps/Dressings","2390","Stoma Appliances","23",32,2099.88,"Stoma Caps/Dressings
32"
"NHS Crawley CCG","Sunscreens And Camouflagers","1308","Skin","13",707,20610,"Sunscreens And Camouflagers
707"
"NHS Crawley CCG","Surgical Adhesive Tape","2010","Dressings","20",308,1832.41,"Surgical Adhesive Tape
308"
"NHS Crawley CCG","Surgical Sutures","2011","Dressings","20",260,634.7,"Surgical Sutures
260"
"NHS Crawley CCG","Suspensory Systems","2270","Incontinence Appliances","22",6,233.38,"Suspensory Systems
6"
"NHS Crawley CCG","Swabs","2012","Dressings","20",373,2378.35,"Swabs
373"
"NHS Crawley CCG","Sympathomimetics","0207","Cardiovascular System","02",69,4742.01,"Sympathomimetics
69"
"NHS Crawley CCG","Systemic Nasal Decongestants","0310","Respiratory System","03",54,209.95,"Systemic Nasal Decongestants
54"
"NHS Crawley CCG","Thyroid And Antithyroid Drugs","0602","Endocrine System","06",87893,220072.27,"Thyroid And Antithyroid Drugs
87,893"
"NHS Crawley CCG","Top Local Anaesthetics & Antipruritics","1303","Skin","13",544,5041.38,"Top Local Anaesthetics & Antipruritics
544"
"NHS Crawley CCG","Topical Circulatory Preparations","1314","Skin","13",262,1364.46,"Topical Circulatory Preparations
262"
"NHS Crawley CCG","Topical Corticosteroids","1304","Skin","13",24502,107841.23,"Topical Corticosteroids
24,502"
"NHS Crawley CCG","Tracheostomy & Laryngectomy Appliances","2005","Dressings","20",155,9037.16,"Tracheostomy & Laryngectomy Appliances
155"
"NHS Crawley CCG","Treatment Of Glaucoma","1106","Eye","11",17185,175825.17,"Treatment Of Glaucoma
17,185"
"NHS Crawley CCG","Treatment Of Vaginal & Vulval Conditions","0702","Obstetrics, Gynae and Urinary Tract Disorders","07",4292,50468.67,"Treatment Of Vaginal & Vulval Conditions
4,292"
"NHS Crawley CCG","Trusses","2106","Appliances","21",4,134.93,"Trusses
4"
"NHS Crawley CCG","Tubing & Accessories","2392","Stoma Appliances","23",9,289.18,"Tubing & Accessories
9"
"NHS Crawley CCG","Tubing And Accessories","2280","Incontinence Appliances","22",517,6918.85,"Tubing And Accessories
517"
"NHS Crawley CCG","Two Piece Ostomy Systems","2394","Stoma Appliances","23",441,34779.22,"Two Piece Ostomy Systems
441"
"NHS Crawley CCG","Urinal Systems","2290","Incontinence Appliances","22",8,485.74,"Urinal Systems
8"
"NHS Crawley CCG","Urostomy Bags","2396","Stoma Appliances","23",319,53277.87,"Urostomy Bags
319"
"NHS Crawley CCG","Vaccines And Antisera","1404","Immunological Products and Vaccines","14",24489,227810.49,"Vaccines And Antisera
24,489"
"NHS Crawley CCG","Vacuum Pumps for Erectile Dysfunction","2118","Appliances","21",49,5090.46,"Vacuum Pumps for Erectile Dysfunction
49"
"NHS Crawley CCG","Vaginal Dilators","2125","Appliances","21",1,15.31,"Vaginal Dilators
1"
"NHS Crawley CCG","Vaginal Moisturisers","2123","Appliances","21",215,2087.16,"Vaginal Moisturisers
215"
"NHS Crawley CCG","Vaginal PH Correction Products","2134","Appliances","21",15,224.23,"Vaginal PH Correction Products
15"
"NHS Crawley CCG","Venous Ulcer Compression System","2120","Appliances","21",128,3206.61,"Venous Ulcer Compression System
128"
"NHS Crawley CCG","Vitamins","0906","Nutrition and Blood","09",63281,358978.26,"Vitamins
63,281"
"NHS Crawley CCG","Waters","1914","Other Drugs and Preparations","19",33,153.84,"Waters
33"
"NHS Crawley CCG","Wound Management & Other Dressings","2003","Dressings","20",2539,102538.61,"Wound Management & Other Dressings
2,539"
"NHS Crawley CCG","Wound Management Products","1313","Skin","13",12,231.9,"Wound Management Products
12"
"NHS Horsham And Mid Sussex CCG","Absorbent Cottons","2001","Dressings","20",9,58.25,"Absorbent Cottons
9"
"NHS Horsham And Mid Sussex CCG","Acids","1906","Other Drugs and Preparations","19",9,539.42,"Acids
9"
"NHS Horsham And Mid Sussex CCG","Acne and Rosacea","1306","Skin","13",7032,95826.45,"Acne and Rosacea
7,032"
